SETTLEMENT_DATE,ape,hol,temp
2025-05-25,20.63035642747795,False,10.198175271875
2025-08-05,16.358775087471862,False,11.641078031249998
2025-08-25,15.830525722530886,True,18.207049385416667
2025-04-16,12.749124567375995,False,3.1763806356249997
2025-04-27,12.569412959690633,False,11.026351320833333
2025-08-31,11.1338276679057,False,12.659170302083334
2025-11-27,11.078853333281698,False,8.188222797916668
2025-07-07,11.078527740705532,False,11.974582390625
2025-06-26,11.03061816262091,False,16.198533145833334
2025-10-04,10.985612564433893,False,5.833066958333333
